Job_Role,Pay,Location,State,Submit_Date,Submit_Date_Mo,Submit_Date_Yr,Hire_Date,Hire_Date_Mo,Hire_Date_Yr
DIRECTOR SALES STRATEGY & OPERATIONS,189197,SAN FRANCISCO CA,CA,05/17/2018,05,2018,11/16/2018,11,2018
DIRECTOR SOFTWARE ENGINEERING,142168,SAN FRANCISCO CA,CA,03/22/2018,03,2018,08/24/2018,08,2018
DIRECTOR SOFTWARE ENGINEERING,152984,SAN FRANCISCO CA,CA,03/09/2018,03,2018,08/24/2018,08,2018
DIRECTOR SOFTWARE ENGINEERING,173668,SAN FRANCISCO CA,CA,02/13/2018,02,2018,08/11/2018,08,2018
DIRECTOR SOFTWARE ENGINEERING,195187,SAN FRANCISCO CA,CA,02/21/2018,02,2018,08/11/2018,08,2018
DIRECTOR SOFTWARE ENGINEERING,195187,SAN FRANCISCO CA,CA,02/12/2018,02,2018,08/11/2018,08,2018
DIRECTOR SOFTWARE ENGINEERING,201094,SAN FRANCISCO CA,CA,10/04/2018,10,2018,04/04/2019,04,2019
DIRECTOR SOFTWARE ENGINEERING,201094,SAN FRANCISCO CA,CA,10/16/2018,10,2018,04/16/2019,04,2019
DIRECTOR SOFTWARE ENGINEERING,201094,SAN FRANCISCO CA,CA,07/17/2018,07,2018,07/31/2018,07,2018
DIRECTOR TECHNICAL OPERATIONS,195187,SAN FRANCISCO CA,CA,03/13/2018,03,2018,09/11/2018,09,2018
DIRECTOR TECHNICAL PROGRAM MANAGEMENT - AUTOMATION R&D,181522,BELLEVUE WA,WA,03/04/2018,03,2018,08/22/2018,08,2018
ENTERPRISE DATA SERVICE - MEMBER OF TECHNICAL STAFF,98925,DALLAS TX,TX,07/25/2018,07,2018,08/06/2018,08,2018
FULL - STACK SOFTWARE ENGINEER - APPLICATION DEVELOPMENT,142168,SAN FRANCISCO CA,CA,04/11/2018,04,2018,04/18/2018,04,2018
FULL STACK DATA ENGINEER,107786,PALO ALTO CA,CA,03/26/2018,03,2018,08/26/2018,08,2018
FULL STACK DATA ENGINEER,110864,PALO ALTO CA,CA,02/26/2018,02,2018,08/26/2018,08,2018
FULL-STACK SOFTWARE ENGINEER,142168,SAN FRANCISCO CA,CA,03/23/2018,03,2018,04/02/2018,04,2018
GLOBAL CONSUMER GOODS INDUSTRY SOLUTIONS LEADER,163134,SAN FRANCISCO CA,CA,03/06/2018,03,2018,09/01/2018,09,2018
GO TO MARKET SENIOR MANAGER,151986,SAN FRANCISCO CA,CA,03/29/2018,03,2018,09/01/2018,09,2018
GO TO MARKET SENIOR MANAGER,163134,SAN FRANCISCO CA,CA,03/06/2018,03,2018,09/01/2018,09,2018
IMPLEMENTATION ARCHITECT,115482,CHICAGO IL,IL,05/22/2018,05,2018,06/04/2018,06,2018
IMPLEMENTATION ARCHITECT,115482,CHICAGO IL,IL,06/12/2018,06,2018,06/20/2018,06,2018
INFORMATION SECURITY ENGINEER,111197,SAN FRANCISCO CA,CA,03/05/2018,03,2018,07/31/2018,07,2018
INNOVATION DIRECTOR RESEARCH,149261,SAN FRANCISCO CA,CA,11/01/2018,11,2018,11/13/2018,11,2018
IT DATABASE ENGINEER,109554,SAN FRANCISCO CA,CA,01/04/2018,01,2018,04/27/2018,04,2018
IT RELEASE MANAGER,142168,SAN FRANCISCO CA,CA,02/07/2018,02,2018,02/26/2018,02,2018
LAB MANAGER,143208,SAN FRANCISCO CA,CA,01/11/2018,01,2018,01/22/2018,01,2018
LEAD ACCOUNTANT,92206,SAN FRANCISCO CA,CA,10/10/2018,10,2018,04/05/2019,04,2019
LEAD ACCOUNTANT,105227,SAN FRANCISCO CA,CA,06/15/2018,06,2018,11/27/2018,11,2018
LEAD ACCOUNTANT,105227,SAN FRANCISCO CA,CA,06/28/2018,06,2018,11/17/2018,11,2018
LEAD APPLICATION SECURITY ENGINEER M&A,127920,BURLINGTON MA,MA,03/12/2018,03,2018,03/19/2018,03,2018
LEAD BIG DATA DEVOPS ENGINEER,134618,BELLEVUE WA,WA,03/13/2018,03,2018,03/26/2018,03,2018
LEAD CCE ENGINEER,122283,BURLINGTON MA,MA,10/12/2018,10,2018,04/13/2019,04,2019
LEAD DATA ENGINEER,155147,PALO ALTO CA,CA,01/19/2018,01,2018,02/02/2018,02,2018
LEAD DATA SCIENTIST,129106,SAN FRANCISCO CA,CA,05/02/2018,05,2018,05/14/2018,05,2018
LEAD DATABASE ENGINEER,129418,SAN FRANCISCO CA,CA,03/14/2018,03,2018,08/31/2018,08,2018
LEAD DISTRIBUTED SYSTEMS DEVELOPER,134618,BELLEVUE WA,WA,01/26/2018,01,2018,02/05/2018,02,2018
LEAD DISTRIBUTED SYSTEMS DEVELOPER SOFTWARE DEFINED SECURI,122450,BELLEVUE WA,WA,07/20/2018,07,2018,08/06/2018,08,2018
LEAD GROWTH ANALYST PRODUCT DATA SCIENCE,133141,SAN FRANCISCO WA,WA,02/12/2018,02,2018,08/11/2018,08,2018
LEAD MEMBER  OF TECHNICAL STAFF,142168,SAN FRANCISCO CA,CA,03/20/2018,03,2018,09/07/2018,09,2018
LEAD MEMBER OF TECHNICAL STAFF,133141,SAN FRANCISCO CA,CA,05/10/2018,05,2018,05/21/2018,05,2018
LEAD MEMBER OF TECHNICAL STAFF,134618,BELLEVUE WA,WA,02/08/2018,02,2018,08/08/2018,08,2018
LEAD MEMBER OF TECHNICAL STAFF,134618,BELLEVUE WA,WA,01/16/2018,01,2018,01/29/2018,01,2018
LEAD MEMBER OF TECHNICAL STAFF,142168,SAN FRANCISCO CA,CA,02/15/2018,02,2018,02/26/2018,02,2018
LEAD MEMBER OF TECHNICAL STAFF,142168,SAN FRANCISCO WA,WA,03/05/2018,03,2018,08/31/2018,08,2018
LEAD MEMBER OF TECHNICAL STAFF,154315,BELLEVUE WA,WA,09/25/2018,09,2018,10/01/2018,10,2018
LEAD MEMBER OF TECHNICAL STAFF,154315,BELLEVUE WA,WA,07/19/2018,07,2018,07/30/2018,07,2018
LEAD MEMBER OF TECHNICAL STAFF,157706,SAN FRANCISCO CA,CA,08/21/2018,08,2018,01/25/2019,01,2019
LEAD MEMBER OF TECHNICAL STAFF,174117,SAN FRANCISCO CA,CA,10/12/2018,10,2018,10/15/2018,10,2018
LEAD MEMBER OF TECHNICAL STAFF,174117,SAN FRANCISCO CA,CA,11/06/2018,11,2018,05/07/2019,05,2019
LEAD MEMBER OF TECHNICAL STAFF DATA MODELER,133141,SAN FRANCISCO CA,CA,05/09/2018,05,2018,05/21/2018,05,2018
LEAD MEMBER OF TECHNICAL STAFF INFRASTRUCTURE ENGINEER,152984,SAN FRANCISCO CA,CA,03/27/2018,03,2018,09/05/2018,09,2018
LEAD MEMBER OF TECHNICAL STAFF SOFTWARE ENGINEER,132080,BELLEVUE WA,WA,01/15/2018,01,2018,07/15/2018,07,2018
LEAD MEMBER OF TECHNICAL STAFF SOFTWARE ENGINEERING,153774,SAN FRANCISCO CA,CA,02/20/2018,02,2018,08/20/2018,08,2018
LEAD MEMBER OF THE TECHNICAL STAFF,157706,SAN FRANCISCO CA,CA,08/31/2018,08,2018,09/17/2018,09,2018
LEAD NETWORK ENGINEER,142168,SAN FRANCISCO CA,CA,04/05/2018,04,2018,07/16/2018,07,2018
LEAD PERFORMANCE AUTOMATION PERFORMANCE ENGINEER LMTS,142168,SAN FRANCISCO CA,CA,03/06/2018,03,2018,08/31/2018,08,2018
LEAD PRODUCT DESIGNER,84864,SAN FRANCISCO CA,CA,02/16/2018,02,2018,08/15/2018,08,2018
LEAD SITE RELIABILITY ENGINEER,157706,PALO ALTO CA,CA,10/30/2018,10,2018,11/13/2018,11,2018
LEAD SOFTWARE DATABASE ENGINEER,135491,HERNDON VA,VA,05/16/2018,05,2018,05/16/2018,05,2018
LEAD SOFTWARE ENGINEER,95805,INDIANAPOLIS IN,IN,03/15/2018,03,2018,09/13/2018,09,2018
LEAD SOFTWARE ENGINEER,100714,INDIANAPOLIS IN,IN,07/17/2018,07,2018,07/31/2018,07,2018
LEAD SOFTWARE ENGINEER,100714,INDIANAPOLIS IN,IN,08/30/2018,08,2018,09/17/2018,09,2018
LEAD SOFTWARE ENGINEER,134618,BELLEVUE WA,WA,02/06/2018,02,2018,02/19/2018,02,2018
LEAD SOFTWARE ENGINEER,135491,HERNDON VA,VA,05/08/2018,05,2018,05/14/2018,05,2018
LEAD SOFTWARE ENGINEER,135491,HERNDON CA,CA,05/02/2018,05,2018,05/14/2018,05,2018
LEAD SOFTWARE ENGINEER,142168,SAN FRANCISCO CA,CA,06/15/2018,06,2018,12/14/2018,12,2018
LEAD SOFTWARE ENGINEER,142168,SAN FRANCISCO CA,CA,03/03/2018,03,2018,08/31/2018,08,2018
LEAD SOFTWARE ENGINEER,142168,SAN FRANCISCO CA,CA,02/07/2018,02,2018,07/30/2018,07,2018
LEAD SOFTWARE ENGINEER,142168,SAN FRANCISCO CA,CA,04/03/2018,04,2018,09/28/2018,09,2018
LEAD SOFTWARE ENGINEER,142168,SAN FRANCISCO CA,CA,01/18/2018,01,2018,06/25/2018,06,2018
LEAD SOFTWARE ENGINEER,142168,SAN FRANCISCO CA,CA,03/14/2018,03,2018,09/09/2018,09,2018
LEAD SOFTWARE ENGINEER,142168,SAN FRANCISCO CA,CA,02/06/2018,02,2018,06/25/2018,06,2018
LEAD SOFTWARE ENGINEER,142168,SAN FRANCISCO CA,CA,02/07/2018,02,2018,07/30/2018,07,2018
