Job_Role,Pay,Location,State,Submit_Date,Submit_Date_Mo,Submit_Date_Yr,Hire_Date,Hire_Date_Mo,Hire_Date_Yr
COMMODITY AND SUPPLY CHAIN ANALYST ,92000,MOUNTAIN VIEW CA,CA,02/09/2018,02,2018,07/13/2018,07,2018
COMMODITY MANUFACTURING MANAGER ,130000,MOUNTAIN VIEW CA,CA,08/07/2018,08,2018,08/13/2018,08,2018
COMMODITY/CONTRACT MANUFACTURING MANAGER ,125000,MOUNTAIN VIEW CA,CA,09/17/2018,09,2018,10/15/2018,10,2018
COMPENSATION TECHNICAL SOLUTIONS SPECIALIST ,155000,MOUNTAIN VIEW CA,CA,08/17/2018,08,2018,02/01/2019,02,2019
COMPUTER SYSTEMS ANALYST ,127000,SUNNYVALE CA,CA,02/13/2018,02,2018,08/13/2018,08,2018
COMPUTER SYSTEMS ANALYSTS ,99000,BOULDER CO,CO,02/21/2018,02,2018,08/16/2018,08,2018
CORPORATE COUNSEL ,258000,SAN BRUNO CA,CA,01/31/2018,01,2018,07/24/2018,07,2018
CORPORATE COUNSEL ,208000,SUNNYVALE CA,CA,05/03/2018,05,2018,05/08/2018,05,2018
CORPORATE COUNSEL ,165500,MOUNTAIN VIEW CA,CA,11/08/2018,11,2018,11/13/2018,11,2018
CORPORATE DEVELOPMENT ANALYST ,102000,SAN FRANCISCO CA,CA,02/07/2018,02,2018,08/04/2018,08,2018
CORPORATE DEVELOPMENT ANALYST ,110000,PALO ALTO CA,CA,07/02/2018,07,2018,07/09/2018,07,2018
CORPORATE OPERATIONS ENGINEER,83491,SEATTLE WA,WA,02/05/2018,02,2018,08/01/2018,08,2018
CREATIVE TECHNOLOGIST,130000,NEW YORK NY,NY,05/10/2018,05,2018,05/14/2018,05,2018
CUSTOMER ENGINEER ,106000,SUNNYVALE CA,CA,01/08/2018,01,2018,01/12/2018,01,2018
CUSTOMER ENGINEER ,120000,SUNNYVALE CA,CA,07/02/2018,07,2018,07/09/2018,07,2018
DATA ANALYST,107000,SUNNYVALE CA,CA,04/25/2018,04,2018,10/01/2018,10,2018
DATA CENTER ENVIRON HEALTH & SAFETY SPECIALIST ,54500,COUNCIL BLUFFS IA,IA,02/13/2018,02,2018,08/13/2018,08,2018
DATA INFRASTRUCTURE ENGINEER ,184000,MOUNTAIN VIEW CA,CA,09/06/2018,09,2018,01/05/2019,01,2019
DATA SCIENTIST ,131000,MOUNTAIN VIEW CA,CA,01/29/2018,01,2018,07/28/2018,07,2018
DATA SCIENTIST ,131000,MOUNTAIN VIEW CA,CA,02/05/2018,02,2018,08/05/2018,08,2018
DATA SCIENTIST ,131000,MOUNTAIN VIEW CA,CA,03/05/2018,03,2018,09/02/2018,09,2018
DATA SCIENTIST ,175000,SAN BRUNO CA,CA,05/09/2018,05,2018,06/11/2018,06,2018
DATA SCIENTIST ,135000,NEW YORK NY,NY,07/03/2018,07,2018,07/16/2018,07,2018
DATA SCIENTIST ,150000,MOUNTAIN VIEW CA,CA,07/03/2018,07,2018,07/16/2018,07,2018
DATA SCIENTIST ,141000,MOUNTAIN VIEW CA,CA,10/09/2018,10,2018,10/15/2018,10,2018
DATA SCIENTIST ,158000,MOUNTAIN VIEW CA,CA,04/06/2018,04,2018,08/18/2018,08,2018
DATA SCIENTIST ,136370,MOUNTAIN VIEW CA,CA,02/06/2018,02,2018,07/16/2018,07,2018
DATA SCIENTIST ,131200,MOUNTAIN VIEW CA,CA,02/06/2018,02,2018,07/16/2018,07,2018
DATA SCIENTIST ,164000,MOUNTAIN VIEW CA,CA,01/31/2018,01,2018,02/07/2018,02,2018
DATA SCIENTIST ,131000,MOUNTAIN VIEW CA,CA,02/05/2018,02,2018,08/01/2018,08,2018
DATA SCIENTIST ,187000,SUNNYVALE CA,CA,05/14/2018,05,2018,09/06/2018,09,2018
DATA SCIENTIST ,131000,MOUNTAIN VIEW CA,CA,02/08/2018,02,2018,08/09/2018,08,2018
DATA SCIENTIST ,131000,MOUNTAIN VIEW CA,CA,02/12/2018,02,2018,08/09/2018,08,2018
DATA SCIENTIST ,141000,NEW YORK CA,CA,05/23/2018,05,2018,05/30/2018,05,2018
DATA SCIENTIST ,141000,NEW YORK NY,NY,05/23/2018,05,2018,05/30/2018,05,2018
DATA SCIENTIST ,130000,MOUNTAIN VIEW CA,CA,04/06/2018,04,2018,04/12/2018,04,2018
DATA SCIENTIST ,164000,MOUNTAIN VIEW CA,CA,05/21/2018,05,2018,05/21/2018,05,2018
DATA SCIENTIST ,154000,MOUNTAIN VIEW CA,CA,11/16/2018,11,2018,11/26/2018,11,2018
DATA SCIENTIST ,157000,MOUNTAIN VIEW CA,CA,06/11/2018,06,2018,10/01/2018,10,2018
DATA SCIENTIST,138000,SUNNYVALE CA,CA,02/08/2018,02,2018,08/06/2018,08,2018
DATABASE ENGINEER ,141000,SUNNYVALE CA,CA,11/08/2018,11,2018,04/29/2019,04,2019
DATABASE ENGINEER ,127000,SUNNYVALE CA,CA,07/31/2018,07,2018,08/02/2018,08,2018
DATABASE ENGINEER ,127000,SUNNYVALE CA,CA,08/13/2018,08,2018,08/14/2018,08,2018
DATACENTER ENGINEER ,175000,SUNNYVALE CA,CA,05/01/2018,05,2018,05/14/2018,05,2018
DESIGN VERIFICATION ENGINEER ,112000,SUNNYVAL CA,CA,10/08/2018,10,2018,10/15/2018,10,2018
